city,pollution,population_density,cdp,cdp_unit
Adelaide,63724,1399.5625,18360000000.00,AUD     Australian Dollar
Amman,3322603,5009.4075,10697000000.00,JOD     Jordanian Dinar
Arlington,1257464,3433.58209,18871919000.00,USD     US Dollar
Athens,1260355,16923.07692,19951634580.00,EUR     Euro
Atlanta,3548215,1377.61516,260000000000.00,USD     US Dollar
Auckland,9133523,320.8009808,81186000.00,NZD     New Zealand Dollar
Baltimore,4019044,2926.971429,43700000000000.00,USD     US Dollar
Basel,783932,5324.324324,30864000000.00,CHF     Swiss Franc
Belo Horizonte,2804787,7560.595166,81426708.00,BRL     Brazilian Real
Bogor,954020,8698.059072,117412136000000.00,IDR     Rupiah
Boston,3603270,5428.903226,103067100436.00,USD     US Dollar
Boulder,741287,1613.283582,22354000000.00,USD     US Dollar
Buenos Aires,15561157,17326.73267,78326876513.00,USD     US Dollar
Calgary,10448332,1461.34434,93000000000.00,CAD     Canadian Dollar
Cape Town,9783734,1560.341325,2467976.00,USD     US Dollar
Columbus,5487400,1527.690941,108089000000.00,USD     US Dollar
Dallas,119881,1319.248248,98746000000.00,USD     US Dollar
Denver,4557000,1728.329177,187111000000.00,USD     US Dollar
Detroit,5520240,1874.08078,186000000000.00,USD     US Dollar
District of Columbia,3132786,4311.202532,116378000000.00,USD     US Dollar
Durban,11681810,1553.228621,2308000000.00,ZAR     South African Rand
Edmonton,10215142,1363.371345,45969000000.00,CAD     Canadian Dollar
Gladsaxe Kommune,247599,2678.433735,35234000.00,DKK     Danish Krone
Greater London,20620000,5517.629135,491550000000.00,USD     US Dollar
Guaratinguet ,497634,158.5525965,825170000.00,BRL     Brazilian Real
Houston,16075539,1417.527385,517400000000.00,USD     US Dollar
Johannesburg,9068358,2695.943465,337000000000.00,ZAR     South African Rand
Knoxville,2061435,729.7766458,37487000000.00,USD     US Dollar
Lahti,717200,229.9516441,6057000000.00,EUR     Euro
Ljubljana,1829808,1017.294545,8220687536.00,EUR     Euro
London,2771000,911.6912114,15400000000.00,CAD     Canadian Dollar
Los Angeles,19595119,3272.693004,797697000000.00,USD     US Dollar
Minneapolis,2890572,2958.876967,235700000000.00,USD     US Dollar
Montreal,13634331,3409.388,120118000000.00,CAD     Canadian Dollar
Nashville and Davidson,6680194,483.0929042,106695000000.00,USD     US Dollar
New Orleans,2419891,836.5277778,80278000000.00,USD     US Dollar
Oakland,956414,2916.701389,24080000000000.00,USD     US Dollar
Oslo,1094422,1453.744493,458449000000.00,NOK     Norwegian Krone
Pittsburgh,2073556,2010.761589,135662.00,USD     US Dollar
Portland,4610317,1701.763298,163692000000.00,USD     US Dollar
Pretoria Tshwane,4648959,508.0978088,2739000000.00,ZAR     South African Rand
Quito,4653611,602.5519849,15100000000.00,USD     US Dollar
Reno,1371400,851.5798611,10000000000.00,USD     US Dollar
Reykjav¡k,346630,448.1672727,6248000000.00,ISK     Iceland Krona
Rio de Janeiro,16171534,5307.855626,282538827000.00,BRL     Brazilian Real
San Antonio,7214051,3503.544601,93198982910.00,USD     US Dollar
San Francisco,4186111,7197.413223,89205219000.00,USD     US Dollar
San Luis Potos¡,1096122.89,556.159919,183992.00,MXN     Mexican Peso
Santiago,23120027.8,474.5828735,125301713234.00,USD     US Dollar
Savannah,2381327,838.6457143,15905000000.00,USD     US Dollar
Tucson,2571089,903.7908719,35717000.00,USD     US Dollar
Turku,421200,756.2195122,8700000000.00,USD     US Dollar
Vancouver,2389748,5217.391304,83600000000.00,CAD     Canadian Dollar
Windsor,2475703,1484.538619,12065940000.00,CAD     Canadian Dollar
Winnipeg,5167453,1519.922414,35000000000.00,CAD     Canadian Dollar
,,,,
